empresa,ticker,ano,semestre,data_referencia,ativo_total_brl,patrimonio_liquido_consolidado_brl,participacao_nao_controladores_brl,patrimonio_atribuivel_controladores_brl,receita_semestre_brl,lucro_liquido_consolidado_semestre_brl,lucro_atribuivel_controladores_semestre_brl,origem_balanco,origem_resultado,preco_fechamento_data_ref_brl,acoes_em_circulacao_data_ref,valor_mercado_estimado_data_ref_brl,dividendos_por_acao_semestre_brl,dividendos_por_acao_12m_brl,empresa_chave,setor
TOTVS S.A.,TOTS3,2023,1S,2023-06-30,10923298000.0,4687788000.0,292034000.0,4395754000.0,2152057000.0,203444000.0,189526000.0,CVM ITR 30/06 - Consolidado,CVM ITR DRE acumulada 01/01-30/06 - Consolidado,29.979999542236328,603787008,18101534223.448242,0.0,0.0,totvs,Tecnologia da Informação / Software
TOTVS S.A.,TOTS3,2023,2S,2023-12-31,8828860000.0,5012671000.0,292097000.0,4720574000.0,2344971000.0,560991000.0,545294000.0,CVM DFP 31/12 - Consolidado,Derivado: DFP anual (01/01-31/12) - ITR acumulada (01/01-30/06),33.689998626708984,608998976,20517174665.107178,0.44,0.44,totvs,Tecnologia da Informação / Software
TOTVS S.A.,TOTS3,2024,1S,2024-06-30,8702896000.0,4988224000.0,300652000.0,4687572000.0,2542772000.0,250076000.0,241521000.0,CVM ITR 30/06 - Consolidado,CVM ITR DRE acumulada 01/01-30/06 - Consolidado,30.43000030517578,595174016,18111145488.512695,0.0,0.44,totvs,Tecnologia da Informação / Software
TOTVS S.A.,TOTS3,2024,2S,2024-12-31,8531721000.0,4987121000.0,305769000.0,4681352000.0,2681235000.0,485367000.0,475992000.0,CVM DFP 31/12 - Consolidado,Derivado: DFP anual (01/01-31/12) - ITR acumulada (01/01-30/06),26.75,585881024,15672317392.0,0.45,0.45,totvs,Tecnologia da Informação / Software
TOTVS S.A.,TOTS3,2025,1S,2025-06-30,8962553000.0,5215253000.0,318086000.0,4897167000.0,2949971000.0,395682000.0,383365000.0,CVM ITR 30/06 - Consolidado,CVM ITR DRE acumulada 01/01-30/06 - Consolidado,42.209999084472656,587614976,24803227598.98242,0.29000000000000004,0.7400000000000001,totvs,Tecnologia da Informação / Software
TOTVS S.A.,TOTS3,2025,2S,2025-12-31,9452171000.0,5443457000.0,338177000.0,5105280000.0,2821896000.0,525060000.0,508376000.0,CVM DFP 31/12 - Consolidado,Derivado: DFP anual (01/01-31/12) - ITR acumulada (01/01-30/06),42.08000183105469,587639641,24727877169.28032,0.32,0.6100000000000001,totvs,Tecnologia da Informação / Software
