CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,_CNPJ_DIGITOS,_DT_REFER,_VERSAO_NUM
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-12-31,2,Passivo Total,10616193.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-12-31,2.01,Passivo Circulante,3336366.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-12-31,2.01.01,Obrigações Sociais e Trabalhistas,317684.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-12-31,2.01.01.01,Obrigações Sociais,25330.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-12-31,2.01.01.02,Obrigações Trabalhistas,292354.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-12-31,2.01.02,Fornecedores,128647.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-12-31,2.01.02.01,Fornecedores Nacionais,118757.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-12-31,2.01.02.02,Fornecedores Estrangeiros,9890.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-12-31,2.01.03,Obrigações Fiscais,95042.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-12-31,2.01.03.01,Obrigações Fiscais Federais,83508.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-12-31,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,0.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-12-31,2.01.03.02,Obrigações Fiscais Estaduais,463.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-12-31,2.01.03.03,Obrigações Fiscais Municipais,11071.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-12-31,2.01.04,Empréstimos e Financiamentos,116156.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-12-31,2.01.04.01,Empréstimos e Financiamentos,170.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-12-31,2.01.04.01.01,Em Moeda Nacional,170.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-12-31,2.01.04.01.02,Em Moeda Estrangeira,0.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-12-31,2.01.04.02,Debêntures,58701.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-12-31,2.01.04.03,Financiamento por Arrendamento,57285.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-12-31,2.01.05,Outras Obrigações,315238.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-12-31,2.01.05.01,Passivos com Partes Relacionadas,0.0000000000,S,53113791000122,2022-12-31,1
