CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_INI_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,_CNPJ_DIGITOS,_DT_REFER,_VERSAO_NUM
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.01,Receita de Venda de Bens e/ou Serviços,2152057.0000000000,S,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.01.01,Softwares,2152057.0000000000,N,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.01.02,Serviços de Produtos de Crédito,0.0000000000,N,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.02,Custo dos Bens e/ou Serviços Vendidos,-639639.0000000000,S,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.02.01,Custo de Softwares,-639639.0000000000,N,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.02.02,Custo de produtos de crédito,0.0000000000,N,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.03,Resultado Bruto,1512418.0000000000,S,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.04,Despesas/Receitas Operacionais,-1154647.0000000000,S,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.04.01,Despesas com Vendas,-484631.0000000000,S,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.04.02,Despesas Gerais e Administrativas,-232976.0000000000,S,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0000000000,S,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.04.04,Outras Receitas Operacionais,0.0000000000,S,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.04.05,Outras Despesas Operacionais,-437040.0000000000,S,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.04.05.01,Pesquisa e Desenvolvimento,-410784.0000000000,N,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.04.05.02,Depreciação e Amortização,0.0000000000,N,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.04.05.03,Provisão para perda esperada,0.0000000000,N,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.04.05.04,Outras Despesas/Receitas Op. Líq.,-26256.0000000000,N,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.04.06,Resultado de Equivalência Patrimonial,0.0000000000,S,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,357771.0000000000,S,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.06,Resultado Financeiro,-24319.0000000000,S,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.06.01,Receitas Financeiras,158876.0000000000,S,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.06.02,Despesas Financeiras,-183195.0000000000,S,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.07,Resultado Antes dos Tributos sobre o Lucro,333452.0000000000,S,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-116479.0000000000,S,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.08.01,Corrente,-116537.0000000000,S,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.08.02,Diferido,58.0000000000,S,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.09,Resultado Líquido das Operações Continuadas,216973.0000000000,S,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.10,Resultado Líquido de Operações Descontinuadas,-13529.0000000000,S,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,-13529.0000000000,S,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.10.01.01,Lucro/Prejuízo Líquido da Dimensão de Techfin,-13529.0000000000,N,53113791000122,2023-06-30,1
53.113.791/0001-22,2023-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-06-30,3.10.01.02,Lucro/Prejuízo Líquido da Operação de Hardware,0.0000000000,N,53113791000122,2023-06-30,1
