CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,_CNPJ_DIGITOS,_DT_REFER,_VERSAO_NUM
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1,Ativo Total,10616193.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1.01,Ativo Circulante,6230161.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1.01.01,Caixa e Equivalentes de Caixa,2735765.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1.01.02,Aplicações Financeiras,0.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,0.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1.01.02.01.01,Títulos para Negociação,0.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1.01.02.01.02,Títulos Designados a Valor Justo,0.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1.01.02.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,0.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1.01.02.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1.01.02.03.01,Títulos para Negociação,0.0000000000,N,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1.01.03,Contas a Receber,475648.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1.01.03.01,Clientes,475648.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1.01.03.01.01,Contas a Receber,538199.0000000000,N,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1.01.03.01.02,Provisão para perda esperada,-62551.0000000000,N,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1.01.03.02,Outras Contas a Receber,0.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1.01.04,Estoques,0.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1.01.05,Ativos Biológicos,0.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1.01.06,Tributos a Recuperar,87932.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1.01.06.01,Tributos Correntes a Recuperar,87932.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1.01.07,Despesas Antecipadas,0.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1.01.08,Outros Ativos Circulantes,2930816.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1.01.08.01,Ativos Não-Correntes a Venda,2823978.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1.01.08.01.01,Ativos da Dimensão de Techfin,2823978.0000000000,N,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1.01.08.02,Ativos de Operações Descontinuadas,0.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1.01.08.03,Outros,106838.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1.01.08.03.01,Garantias de investimentos,10391.0000000000,N,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2022-12-31,1.01.08.03.02,Outros Ativos,96447.0000000000,N,53113791000122,2022-12-31,1
