data,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Repaired?,empresa_chave,empresa,ticker,setor
2023-01-02,26.860000610351562,26.860000610351562,25.420000076293945,25.889999389648438,24.461933135986328,3063900,0.21,0.0,False,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-01-03,25.81999969482422,26.270000457763672,24.93000030517578,25.0,23.62102699279785,4250800,0.0,0.0,False,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-01-04,25.100000381469727,26.5,24.979999542236328,25.729999542236328,24.310760498046875,6374700,0.0,0.0,False,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-01-05,25.889999389648438,27.260000228881836,25.709999084472656,26.899999618530273,25.41622543334961,6459400,0.0,0.0,False,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-01-06,26.899999618530273,27.65999984741211,26.690000534057617,27.34000015258789,25.831953048706055,3270700,0.0,0.0,False,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-01-09,27.329999923706055,28.56999969482422,27.219999313354492,27.860000610351562,26.323270797729492,5516400,0.0,0.0,False,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-01-10,27.75,29.15999984741211,27.420000076293945,28.829999923706055,27.239765167236328,4159800,0.0,0.0,False,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-01-11,28.809999465942383,29.299999237060547,28.280000686645508,29.149999618530273,27.542116165161133,3700200,0.0,0.0,False,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-01-12,29.030000686645508,29.270000457763672,27.850000381469727,28.59000015258789,27.01300811767578,3012200,0.0,0.0,False,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-01-13,28.420000076293945,28.489999771118164,27.780000686645508,28.15999984741211,26.60672378540039,2830900,0.0,0.0,False,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-01-16,28.31999969482422,28.31999969482422,27.079999923706055,27.639999389648438,26.11540412902832,2709400,0.0,0.0,False,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-01-17,27.649999618530273,29.389999389648438,27.59000015258789,29.260000228881836,27.64604949951172,7404100,0.0,0.0,False,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-01-18,29.700000762939453,30.18000030517578,29.43000030517578,29.770000457763672,28.127918243408203,5469500,0.0,0.0,False,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-01-19,29.40999984741211,30.579999923706055,28.600000381469727,29.649999618530273,28.014537811279297,5254800,0.0,0.0,False,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-01-20,29.559999465942383,29.770000457763672,28.889999389648438,29.100000381469727,27.494876861572266,4469200,0.0,0.0,False,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-01-23,29.09000015258789,30.299999237060547,29.06999969482422,29.639999389648438,28.00508689880371,3279200,0.0,0.0,False,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-01-24,29.709999084472656,30.459999084472656,29.68000030517578,30.219999313354492,28.553096771240234,4468900,0.0,0.0,False,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
