empresa,ticker,ano,semestre,data_referencia,ativo_total_brl,patrimonio_liquido_consolidado_brl,participacao_nao_controladores_brl,patrimonio_atribuivel_controladores_brl,receita_semestre_brl,lucro_liquido_consolidado_semestre_brl,lucro_atribuivel_controladores_semestre_brl,origem_balanco,origem_resultado,preco_fechamento_data_ref_brl,acoes_em_circulacao_data_ref,valor_mercado_estimado_data_ref_brl,dividendos_por_acao_semestre_brl,dividendos_por_acao_12m_brl,empresa_chave,setor
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,2023,1S,2023-06-30,12656646000.0,4591630000.0,24013000.0,4567617000.0,2024378000.0,346003000.0,342855000.0,CVM ITR 30/06 - Consolidado,CVM ITR DRE acumulada 01/01-30/06 - Consolidado,21.5,586241984,12604202656.0,0.0,0.0,smartfit,Consumo Cíclico / Academias
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,2023,2S,2023-12-31,14230177000.0,5095634000.0,27372000.0,5068262000.0,2220365000.0,698173000.0,693699000.0,CVM DFP 31/12 - Consolidado,Derivado: DFP anual (01/01-31/12) - ITR acumulada (01/01-30/06),26.030000686645508,586241984,15259879246.060425,0.45373861520000003,0.45373861520000003,smartfit,Consumo Cíclico / Academias
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,2024,1S,2024-06-30,16006473000.0,5354792000.0,15175000.0,5339617000.0,2617572000.0,188886000.0,186292000.0,CVM ITR 30/06 - Consolidado,CVM ITR DRE acumulada 01/01-30/06 - Consolidado,21.600000381469727,586241984,12662827078.03357,0.0852889683,0.5390275835,smartfit,Consumo Cíclico / Academias
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,2024,2S,2024-12-31,18350302000.0,5471778000.0,15882000.0,5455896000.0,2962732000.0,251690000.0,250148000.0,CVM DFP 31/12 - Consolidado,Derivado: DFP anual (01/01-31/12) - ITR acumulada (01/01-30/06),16.959999084472656,586241984,9942663511.919434,0.44094396609,0.52623293439,smartfit,Consumo Cíclico / Academias
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,2025,1S,2025-06-30,18455968000.0,5655472000.0,16248000.0,5639224000.0,3469314000.0,281836000.0,280309000.0,CVM ITR 30/06 - Consolidado,CVM ITR DRE acumulada 01/01-30/06 - Consolidado,24.84000015258789,597249984,14835689693.693115,0.13394724638,0.57489121247,smartfit,Consumo Cíclico / Academias
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,2025,2S,2025-12-31,21497648000.0,5663406000.0,1863000.0,5661543000.0,3772380000.0,358698000.0,358379000.0,CVM DFP 31/12 - Consolidado,Derivado: DFP anual (01/01-31/12) - ITR acumulada (01/01-30/06),23.299999237060547,597247265,13915860818.836498,0.90870885028,1.04265609666,smartfit,Consumo Cíclico / Academias
