CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_INI_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,_CNPJ_DIGITOS,_DT_REFER,_VERSAO_NUM
07.594.978/0001-78,2025-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,3.01,Receita de Venda de Bens e/ou Serviços,3469314.0000000000,S,07594978000178,2025-06-30,1
07.594.978/0001-78,2025-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,3.02,Custo dos Bens e/ou Serviços Vendidos,-1977810.0000000000,S,07594978000178,2025-06-30,1
07.594.978/0001-78,2025-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,3.03,Resultado Bruto,1491504.0000000000,S,07594978000178,2025-06-30,1
07.594.978/0001-78,2025-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,3.04,Despesas/Receitas Operacionais,-681464.0000000000,S,07594978000178,2025-06-30,1
07.594.978/0001-78,2025-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,3.04.01,Despesas com Vendas,-294961.0000000000,S,07594978000178,2025-06-30,1
07.594.978/0001-78,2025-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,3.04.02,Despesas Gerais e Administrativas,-367393.0000000000,S,07594978000178,2025-06-30,1
07.594.978/0001-78,2025-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0000000000,S,07594978000178,2025-06-30,1
07.594.978/0001-78,2025-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,3.04.04,Outras Receitas Operacionais,0.0000000000,S,07594978000178,2025-06-30,1
07.594.978/0001-78,2025-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,3.04.05,Outras Despesas Operacionais,-20667.0000000000,S,07594978000178,2025-06-30,1
07.594.978/0001-78,2025-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,3.04.06,Resultado de Equivalência Patrimonial,1557.0000000000,S,07594978000178,2025-06-30,1
07.594.978/0001-78,2025-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,810040.0000000000,S,07594978000178,2025-06-30,1
07.594.978/0001-78,2025-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,3.06,Resultado Financeiro,-449572.0000000000,S,07594978000178,2025-06-30,1
07.594.978/0001-78,2025-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,3.06.01,Receitas Financeiras,199339.0000000000,S,07594978000178,2025-06-30,1
07.594.978/0001-78,2025-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,3.06.02,Despesas Financeiras,-648911.0000000000,S,07594978000178,2025-06-30,1
07.594.978/0001-78,2025-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,3.07,Resultado Antes dos Tributos sobre o Lucro,360468.0000000000,S,07594978000178,2025-06-30,1
