empresa,ticker,ano,semestre,data_referencia,ativo_total_brl,patrimonio_liquido_consolidado_brl,participacao_nao_controladores_brl,patrimonio_atribuivel_controladores_brl,receita_semestre_brl,lucro_liquido_consolidado_semestre_brl,lucro_atribuivel_controladores_semestre_brl,origem_balanco,origem_resultado,preco_fechamento_data_ref_brl,acoes_em_circulacao_data_ref,valor_mercado_estimado_data_ref_brl,dividendos_por_acao_semestre_brl,dividendos_por_acao_12m_brl,receita_ttm_brl,lucro_consolidado_ttm_brl,lucro_controladores_ttm_brl,pl_preco_lucro,pvp_preco_valor_patrimonial,roe_pct,roa_pct,margem_liquida_pct,dividend_yield_12m_pct,receita_mesmo_semestre_ano_anterior_brl,crescimento_receita_yoy_pct,empresa_chave,setor
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,2023,1S,2023-06-30,12656646000.0,4591630000.0,24013000.0,4567617000.0,2024378000.0,346003000.0,342855000.0,CVM ITR 30/06 - Consolidado,CVM ITR DRE acumulada 01/01-30/06 - Consolidado,21.5,586241984,12604202656.0,0.0,0.0,3643731000.0,406390000.0,400011000.0,31.509640124896567,2.7594701254505356,8.757542499732356,3.2108822511113924,11.153128482865503,0.0,1311085000.0,54.40478687499285,smartfit,Consumo Cíclico / Academias
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,2023,2S,2023-12-31,14230177000.0,5095634000.0,27372000.0,5068262000.0,2220365000.0,698173000.0,693699000.0,CVM DFP 31/12 - Consolidado,Derivado: DFP anual (01/01-31/12) - ITR acumulada (01/01-30/06),26.030000686645508,586241984,15259879246.060425,0.45373861520000003,0.45373861520000003,4244743000.0,1044176000.0,1036554000.0,14.72174073522501,3.0108702442889546,20.45186298577303,7.337758342710705,24.59927491487706,1.7431371618548865,1619353000.0,37.11432899435762,smartfit,Consumo Cíclico / Academias
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,2024,1S,2024-06-30,16006473000.0,5354792000.0,15175000.0,5339617000.0,2617572000.0,188886000.0,186292000.0,CVM ITR 30/06 - Consolidado,CVM ITR DRE acumulada 01/01-30/06 - Consolidado,21.600000381469727,586241984,12662827078.03357,0.0852889683,0.5390275835,4837937000.0,887059000.0,879991000.0,14.389723392663754,2.371486021943815,16.480414231957084,5.541876714501689,18.335480598445166,2.4954980276871783,2024378000.0,29.302531444226325,smartfit,Consumo Cíclico / Academias
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,2024,2S,2024-12-31,18350302000.0,5471778000.0,15882000.0,5455896000.0,2962732000.0,251690000.0,250148000.0,CVM DFP 31/12 - Consolidado,Derivado: DFP anual (01/01-31/12) - ITR acumulada (01/01-30/06),16.959999084472656,586241984,9942663511.919434,0.44094396609,0.52623293439,5580304000.0,440576000.0,436440000.0,22.781283823479594,1.8223704249346824,7.999419343770482,2.4009196142929965,7.895197107541095,3.102788695736314,2220365000.0,33.434457848146586,smartfit,Consumo Cíclico / Academias
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,2025,1S,2025-06-30,18455968000.0,5655472000.0,16248000.0,5639224000.0,3469314000.0,281836000.0,280309000.0,CVM ITR 30/06 - Consolidado,CVM ITR DRE acumulada 01/01-30/06 - Consolidado,24.84000015258789,597249984,14835689693.693115,0.13394724638,0.57489121247,6432046000.0,533526000.0,530457000.0,27.967751756868353,2.630803403747238,9.40656019338831,2.8908047521538833,8.294810080649299,2.314376847578668,2617572000.0,32.53939146659576,smartfit,Consumo Cíclico / Academias
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,2025,2S,2025-12-31,21497648000.0,5663406000.0,1863000.0,5661543000.0,3772380000.0,358698000.0,358379000.0,CVM DFP 31/12 - Consolidado,Derivado: DFP anual (01/01-31/12) - ITR acumulada (01/01-30/06),23.299999237060547,597247265,13915860818.836498,0.90870885028,1.04265609666,7241694000.0,640534000.0,638688000.0,21.788198336020873,2.457962576427751,11.281164869718378,2.9795538563102344,8.845085141680938,4.474919016312973,2962732000.0,27.327750198127944,smartfit,Consumo Cíclico / Academias
