CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_INI_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,_CNPJ_DIGITOS,_DT_REFER,_VERSAO_NUM
53.113.791/0001-22,2024-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.01,Receita de Venda de Bens e/ou Serviços,5224007.0000000000,S,53113791000122,2024-12-31,1
53.113.791/0001-22,2024-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.01.01,Softwares,5224007.0000000000,N,53113791000122,2024-12-31,1
53.113.791/0001-22,2024-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.02,Custo dos Bens e/ou Serviços Vendidos,-1594149.0000000000,S,53113791000122,2024-12-31,1
53.113.791/0001-22,2024-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.02.01,Custo de Softwares,-1594149.0000000000,N,53113791000122,2024-12-31,1
53.113.791/0001-22,2024-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.02.02,Custo de produtos de crédito,0.0000000000,N,53113791000122,2024-12-31,1
53.113.791/0001-22,2024-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.03,Resultado Bruto,3629858.0000000000,S,53113791000122,2024-12-31,1
53.113.791/0001-22,2024-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.04,Despesas/Receitas Operacionais,-2752589.0000000000,S,53113791000122,2024-12-31,1
53.113.791/0001-22,2024-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.04.01,Despesas com Vendas,-1135920.0000000000,S,53113791000122,2024-12-31,1
53.113.791/0001-22,2024-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.04.02,Despesas Gerais e Administrativas,-593409.0000000000,S,53113791000122,2024-12-31,1
53.113.791/0001-22,2024-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0000000000,S,53113791000122,2024-12-31,1
53.113.791/0001-22,2024-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.04.04,Outras Receitas Operacionais,0.0000000000,S,53113791000122,2024-12-31,1
53.113.791/0001-22,2024-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.04.05,Outras Despesas Operacionais,-1021689.0000000000,S,53113791000122,2024-12-31,1
53.113.791/0001-22,2024-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.04.05.01,Pesquisa e Desenvolvimento,-945253.0000000000,N,53113791000122,2024-12-31,1
53.113.791/0001-22,2024-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.04.05.02,Depreciação e Amortização,0.0000000000,N,53113791000122,2024-12-31,1
