CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,_CNPJ_DIGITOS,_DT_REFER,_VERSAO_NUM
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,9846.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,9846.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.01.07.01.01,Passivos relacionados aos ativos da Dimensão Techfin,0.0000000000,N,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.01.07.01.02,Passivos sobre Ativos Não-Correntes a Venda,9846.0000000000,N,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02,Passivo Não Circulante,2403981.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.01,Empréstimos e Financiamentos,1537203.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.01.01,Empréstimos e Financiamentos,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.01.01.01,Em Moeda Nacional,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.01.01.02,Em Moeda Estrangeira,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.01.02,Debêntures,1474718.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.01.03,Financiamento por Arrendamento,62485.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.02,Outras Obrigações,766010.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.02.01,Passivos com Partes Relacionadas,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.02.01.01,Débitos com Coligadas,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.02.01.03,Débitos com Controladores,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.02.01.04,Débitos com Outras Partes Relacionadas,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.02.02,Outros,766010.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.02.02.01,Obrigações por Pagamentos Baseados em Ações,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.02.02.02,Adiantamento para Futuro Aumento de Capital,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.02.02.03,Obrigações por Aquisição de Investimentos,218689.0000000000,N,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.02.02.04,Outros Passivos,61609.0000000000,N,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.02.02.05,Obrigações Fiscais,0.0000000000,N,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.02.02.06,Opção de compra de participação de não controladores,465558.0000000000,N,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.02.02.07,vazia,0.0000000000,N,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.02.02.08,Passivo fiscal diferido,20154.0000000000,N,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.03,Tributos Diferidos,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.03.01,Imposto de Renda e Contribuição Social Diferidos,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.04,Provisões,100768.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.04.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,100768.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.04.01.01,Provisões Fiscais,9023.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.04.01.02,Provisões Previdenciárias e Trabalhistas,54836.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.04.01.03,Provisões para Benefícios a Empregados,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.04.01.04,Provisões Cíveis,36909.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.04.02,Outras Provisões,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.04.02.01,Provisões para Garantias,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.04.02.02,Provisões para Reestruturação,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.04.02.03,Provisões para Passivos Ambientais e de Desativação,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.04.02.04,Provisões para Perdas em Investimentos,0.0000000000,N,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.05.01,Passivos sobre Ativos Não-Correntes a Venda,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.05.02,Passivos sobre Ativos de Operações Descontinuadas,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.06,Lucros e Receitas a Apropriar,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.06.01,Lucros a Apropriar,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.06.02,Receitas a Apropriar,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.02.06.03,Subvenções de Investimento a Apropriar,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.03,Patrimônio Líquido Consolidado,5215253.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.03.01,Capital Social Realizado,2962585.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.03.02,Reservas de Capital,-53154.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.03.02.01,Ágio na Emissão de Ações,-69396.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-06-30,2.03.02.02,Reserva Especial de Ágio na Incorporação,0.0000000000,S,53113791000122,2025-06-30,1
